"","X","charge120","charge240","city08","cityA08","cityCD","cityE","cityUF","combE","cylinders","drive","fuelCost08","fuelCostA08","fuelType","fuelType1","hlv","lv4","make","model","mpgData","phevBlended","pv2","pv4","range","rangeCity","rangeCityA","rangeHwy","rangeHwyA","trany","UCity","UCityA","VClass","year","youSaveSpend","guzzler","tCharger","sCharger","atvType","fuelType2","rangeA","evMotor"
"348",12079,0,0,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,14,"Honda","Accord","Y","false",91,103,0,0,0,0,0,"Manual 6-spd",22.6,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"349",12080,0,0,21,0,0,0,0,0,4,"Front-Wheel Drive",2150,0,"Regular","Regular Gasoline",20,13,"Hyundai","Elantra","Y","false",0,95,0,0,0,0,0,"Automatic 4-spd",27.1,0,"Midsize Cars",2005,500,"",NA,NA,"","","",""
"350",12081,0,0,23,0,0,0,0,0,4,"Front-Wheel Drive",2000,0,"Regular","Regular Gasoline",20,13,"Hyundai","Elantra","Y","false",0,95,0,0,0,0,0,"Manual 5-spd",29.7459,0,"Midsize Cars",2005,1250,"",NA,NA,"","","",""
"351",12082,0,0,19,0,0,0,0,0,4,"Front-Wheel Drive",2350,0,"Regular","Regular Gasoline",0,13,"Hyundai","Sonata","Y","false",0,100,0,0,0,0,0,"Automatic 4-spd",24,0,"Midsize Cars",2005,-500,"",NA,NA,"","","",""
"352",12083,0,0,20,0,0,0,0,0,4,"Front-Wheel Drive",2250,0,"Regular","Regular Gasoline",0,13,"Hyundai","Sonata","N","false",0,100,0,0,0,0,0,"Manual 5-spd",24.9,0,"Midsize Cars",2005,0,"",NA,NA,"","","",""
"353",12084,0,0,17,0,0,0,0,0,6,"Front-Wheel Drive",2600,0,"Regular","Regular Gasoline",0,13,"Hyundai","Sonata","Y","false",0,100,0,0,0,0,0,"Automatic 4-spd",21.6,0,"Midsize Cars",2005,-1750,"",NA,NA,"","","",""
"354",12085,0,0,18,0,0,0,0,0,6,"Front-Wheel Drive",2600,0,"Regular","Regular Gasoline",0,13,"Hyundai","Sonata","N","false",0,100,0,0,0,0,0,"Manual 5-spd",22.4,0,"Midsize Cars",2005,-1750,"",NA,NA,"","","",""
"355",12086,0,0,16,0,0,0,0,0,6,"Front-Wheel Drive",2750,0,"Regular","Regular Gasoline",0,15,"Hyundai","XG350","Y","false",0,103,0,0,0,0,0,"Automatic 5-spd",19.9,0,"Midsize Cars",2005,-2500,"",NA,NA,"","","",""
"364",12097,0,0,19,0,0,0,0,0,4,"Front-Wheel Drive",2350,0,"Regular","Regular Gasoline",0,13,"Kia","Optima","Y","false",0,100,0,0,0,0,0,"Automatic 4-spd",24.2,0,"Midsize Cars",2005,-500,"",NA,NA,"","","",""
"365",12098,0,0,20,0,0,0,0,0,4,"Front-Wheel Drive",2250,0,"Regular","Regular Gasoline",0,13,"Kia","Optima","N","false",0,100,0,0,0,0,0,"Manual 5-spd",25.1,0,"Midsize Cars",2005,0,"",NA,NA,"","","",""
"366",12099,0,0,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,13,"Kia","Optima","Y","false",0,100,0,0,0,0,0,"Automatic 4-spd",22.6,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"367",12101,0,0,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,13,"Kia","Optima","N","false",0,100,0,0,0,0,0,"Manual 5-spd",22.6,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"368",12102,0,0,21,0,0,0,0,0,4,"Front-Wheel Drive",2100,0,"Regular","Regular Gasoline",18,12,"Kia","Spectra","Y","false",0,97,0,0,0,0,0,"Automatic 4-spd",26.7501,0,"Midsize Cars",2005,750,"",NA,NA,"","","",""
"369",12103,0,0,22,0,0,0,0,0,4,"Front-Wheel Drive",2100,0,"Regular","Regular Gasoline",18,12,"Kia","Spectra","Y","false",0,97,0,0,0,0,0,"Manual 5-spd",27.4,0,"Midsize Cars",2005,750,"",NA,NA,"","","",""
"373",12107,0,0,17,0,0,0,0,0,6,"Rear-Wheel Drive",2850,0,"Premium","Premium Gasoline",0,13,"Lincoln","LS","N","false",0,102,0,0,0,0,0,"Automatic 5-spd",21.7,0,"Midsize Cars",2005,-3000,"",NA,NA,"","","",""
"374",12108,0,0,17,0,0,0,0,0,6,"Rear-Wheel Drive",2850,0,"Premium","Premium Gasoline",0,13,"Lincoln","LS","N","false",0,102,0,0,0,0,0,"Automatic (S5)",21.7,0,"Midsize Cars",2005,-3000,"",NA,NA,"","","",""
"375",12109,0,0,16,0,0,0,0,0,8,"Rear-Wheel Drive",3150,0,"Premium","Premium Gasoline",0,13,"Lincoln","LS","N","false",0,102,0,0,0,0,0,"Automatic 5-spd",19.7,0,"Midsize Cars",2005,-4500,"",NA,NA,"","","",""
"376",12110,0,0,16,0,0,0,0,0,8,"Rear-Wheel Drive",3150,0,"Premium","Premium Gasoline",0,13,"Lincoln","LS","Y","false",0,102,0,0,0,0,0,"Automatic (S5)",19.3468,0,"Midsize Cars",2005,-4500,"",NA,NA,"","","",""
"377",12113,0,0,18,0,0,0,0,0,6,"Front-Wheel Drive",2600,0,"Regular","Regular Gasoline",0,16,"Mercury","Sable","N","false",0,102,0,0,0,0,0,"Automatic 4-spd",22.1,0,"Midsize Cars",2005,-1750,"",NA,NA,"","","",""
"378",12114,0,0,18,0,0,0,0,0,6,"Front-Wheel Drive",2600,0,"Regular","Regular Gasoline",0,16,"Mercury","Sable","Y","false",0,102,0,0,0,0,0,"Automatic 4-spd",22.2,0,"Midsize Cars",2005,-1750,"",NA,NA,"","","",""
"379",12115,0,0,21,0,0,0,0,0,4,"Front-Wheel Drive",2250,0,"Regular","Regular Gasoline",22,15,"Mazda","6","Y","false",0,96,0,0,0,0,0,"Manual 5-spd",26.0349,0,"Midsize Cars",2005,0,"",NA,NA,"","","",""
"380",12116,0,0,20,0,0,0,0,0,4,"Front-Wheel Drive",2350,0,"Regular","Regular Gasoline",22,15,"Mazda","6","Y","false",0,96,0,0,0,0,0,"Automatic (S4)",25.0942,0,"Midsize Cars",2005,-500,"",NA,NA,"","","",""
"381",12117,0,0,17,0,0,0,0,0,6,"Front-Wheel Drive",2600,0,"Regular","Regular Gasoline",22,15,"Mazda","6","Y","false",0,96,0,0,0,0,0,"Manual 5-spd",21.2925,0,"Midsize Cars",2005,-1750,"",NA,NA,"","","",""
"382",12118,0,0,17,0,0,0,0,0,6,"Front-Wheel Drive",2600,0,"Regular","Regular Gasoline",22,15,"Mazda","6","Y","false",0,96,0,0,0,0,0,"Automatic (S6)",21.7672,0,"Midsize Cars",2005,-1750,"",NA,NA,"","","",""
"388",12126,0,0,15,0,0,0,0,0,6,"Front-Wheel Drive",3150,0,"Premium","Premium Gasoline",0,14,"Mitsubishi","Diamante Sedan","N","false",0,96,0,0,0,0,0,"Automatic 4-spd",18.9,0,"Midsize Cars",2005,-4500,"",NA,NA,"","","",""
"389",12127,0,0,20,0,0,0,0,0,4,"Front-Wheel Drive",2250,0,"Regular","Regular Gasoline",0,13,"Mitsubishi","Galant","Y","false",0,101,0,0,0,0,0,"Automatic 4-spd",25.3423,0,"Midsize Cars",2005,0,"",NA,NA,"","","",""
"390",12128,0,0,17,0,0,0,0,0,6,"Front-Wheel Drive",3000,0,"Premium","Premium Gasoline",0,13,"Mitsubishi","Galant","Y","false",0,101,0,0,0,0,0,"Automatic (S4)",20.6177,0,"Midsize Cars",2005,-3750,"",NA,NA,"","","",""
"391",12129,0,0,21,0,0,0,0,0,4,"Front-Wheel Drive",2250,0,"Regular","Regular Gasoline",0,16,"Nissan","Altima","Y","false",0,103,0,0,0,0,0,"Automatic 4-spd",26.0375,0,"Midsize Cars",2005,0,"",NA,NA,"","","",""
"392",12130,0,0,21,0,0,0,0,0,4,"Front-Wheel Drive",2150,0,"Regular","Regular Gasoline",0,16,"Nissan","Altima","Y","false",0,103,0,0,0,0,0,"Manual 5-spd",26.6,0,"Midsize Cars",2005,500,"",NA,NA,"","","",""
"393",12131,0,0,19,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,16,"Nissan","Altima","Y","false",0,103,0,0,0,0,0,"Manual 5-spd",23.8,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"394",12132,0,0,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,16,"Nissan","Altima","Y","false",0,103,0,0,0,0,0,"Manual 6-spd",22.2,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"395",12133,0,0,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,16,"Nissan","Altima","Y","false",0,103,0,0,0,0,0,"Automatic (S5)",22.6,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"396",12135,0,0,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,16,"Nissan","Maxima","Y","false",0,104,0,0,0,0,0,"Manual 6-spd",22.6,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"397",12136,0,0,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,16,"Nissan","Maxima","Y","false",0,104,0,0,0,0,0,"Automatic (S5)",22.2,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"398",12138,0,0,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,16,"Pontiac","Grand Prix","Y","false",0,97,0,0,0,0,0,"Automatic 4-spd",22.0747,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"402",12143,0,0,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,18,"Saturn","L300","N","false",0,97,0,0,0,0,0,"Automatic 4-spd",22.9,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"403",12144,0,0,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,13,"Suzuki","Verona","Y","false",0,101,0,0,0,0,0,"Automatic 4-spd",22.5,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"404",12146,0,0,21,0,0,0,0,0,4,"Front-Wheel Drive",2100,0,"Regular","Regular Gasoline",0,17,"Toyota","Camry","Y","false",0,102,0,0,0,0,0,"Automatic 5-spd",26.9016,0,"Midsize Cars",2005,750,"",NA,NA,"","","",""
"405",12147,0,0,21,0,0,0,0,0,4,"Front-Wheel Drive",2150,0,"Regular","Regular Gasoline",0,17,"Toyota","Camry","N","false",0,102,0,0,0,0,0,"Manual 5-spd",26.6,0,"Midsize Cars",2005,500,"",NA,NA,"","","",""
"406",12148,0,0,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,17,"Toyota","Camry","Y","false",0,102,0,0,0,0,0,"Automatic 5-spd",22.5,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"407",12149,0,0,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,17,"Toyota","Camry","Y","false",0,102,0,0,0,0,0,"Automatic 5-spd",22.8,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
