"","X","city08","cityA08","cityCD","cityE","cityUF","combE","cylinders","drive","fuelCost08","fuelCostA08","fuelType","fuelType1","hlv","lv4","make","model","mpgData","phevBlended","pv2","pv4","range","rangeCity","rangeCityA","rangeHwy","rangeHwyA","trany","UCity","UCityA","VClass","year","youSaveSpend","guzzler","tCharger","sCharger","atvType","fuelType2","rangeA","evMotor"
"364",12097,19,0,0,0,0,0,4,"Front-Wheel Drive",2350,0,"Regular","Regular Gasoline",0,13,"Kia","Optima","Y","false",0,100,0,0,0,0,0,"Automatic 4-spd",24.2,0,"Midsize Cars",2005,-500,"",NA,NA,"","","",""
"365",12098,20,0,0,0,0,0,4,"Front-Wheel Drive",2250,0,"Regular","Regular Gasoline",0,13,"Kia","Optima","N","false",0,100,0,0,0,0,0,"Manual 5-spd",25.1,0,"Midsize Cars",2005,0,"",NA,NA,"","","",""
"366",12099,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,13,"Kia","Optima","Y","false",0,100,0,0,0,0,0,"Automatic 4-spd",22.6,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"367",12101,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,13,"Kia","Optima","N","false",0,100,0,0,0,0,0,"Manual 5-spd",22.6,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"368",12102,21,0,0,0,0,0,4,"Front-Wheel Drive",2100,0,"Regular","Regular Gasoline",18,12,"Kia","Spectra","Y","false",0,97,0,0,0,0,0,"Automatic 4-spd",26.7501,0,"Midsize Cars",2005,750,"",NA,NA,"","","",""
"369",12103,22,0,0,0,0,0,4,"Front-Wheel Drive",2100,0,"Regular","Regular Gasoline",18,12,"Kia","Spectra","Y","false",0,97,0,0,0,0,0,"Manual 5-spd",27.4,0,"Midsize Cars",2005,750,"",NA,NA,"","","",""
"377",12113,18,0,0,0,0,0,6,"Front-Wheel Drive",2600,0,"Regular","Regular Gasoline",0,16,"Mercury","Sable","N","false",0,102,0,0,0,0,0,"Automatic 4-spd",22.1,0,"Midsize Cars",2005,-1750,"",NA,NA,"","","",""
"378",12114,18,0,0,0,0,0,6,"Front-Wheel Drive",2600,0,"Regular","Regular Gasoline",0,16,"Mercury","Sable","Y","false",0,102,0,0,0,0,0,"Automatic 4-spd",22.2,0,"Midsize Cars",2005,-1750,"",NA,NA,"","","",""
"379",12115,21,0,0,0,0,0,4,"Front-Wheel Drive",2250,0,"Regular","Regular Gasoline",22,15,"Mazda","6","Y","false",0,96,0,0,0,0,0,"Manual 5-spd",26.0349,0,"Midsize Cars",2005,0,"",NA,NA,"","","",""
"380",12116,20,0,0,0,0,0,4,"Front-Wheel Drive",2350,0,"Regular","Regular Gasoline",22,15,"Mazda","6","Y","false",0,96,0,0,0,0,0,"Automatic (S4)",25.0942,0,"Midsize Cars",2005,-500,"",NA,NA,"","","",""
